城市,年份,文本内容,economic_growth_goal
上海市,2016,"         
	上海市市长杨雄

	各位代表：

	　　现在，我代表上海市人民政府，向大会报告政府工作，请予审议。请政协委员和其他列席人员提出意见。

	　　一、2015年工作回顾

	　　过去一年，我们在党中央、国务院和中共上海市委的坚强领导下，深入学习贯彻习近平总书记系列重要讲话精神，按照“四个全面”战略布局，主动适应经济发展新常态，坚持稳中求进工作总基调，坚决贯彻落实国家稳增长、促改革、调结构、惠民生、防风险一系列重大政策措施，奋力推进创新驱动发展、经济转型升级，完成了市十四届人大三次会议和“十二五”规划确定的目标任务。

	　　一年来，全市经济社会平稳发展，创新驱动发展积极效应进一步显现。一是经济保持平稳运行。全市生产总值达到2.5万亿元，比上年增长6.9%，过去五年年均增长7.5%。新增就业岗位59.7万个，城镇登记失业率控制在4.1%。居民消费价格上涨2.4%。二是经济结构、质量和效益进一步改善。第三产业增加值占全市生产总值的比重达到67.8%，比五年前提高10.5个百分点，服务经济为主的产业结构基本形成。一般公共预算收入比上年增长13.3%，达到5519.5亿元，是五年前的1.9倍。在提前一年完成“十二五”目标的基础上，预计单位生产总值能耗再降低4%，主要污染物排放量进一步下降。三是改革创新取得重大突破。顺利完成中国（上海）自由贸易试验区扩区工作，制定实施科技创新中心建设意见及配套政策，一大批制度创新和科技创新的政策举措落地见效。四是人民生活水平进一步提高。城镇和农村常住居民人均可支配收入分别比上年增长8.4%和9.5%，农村居民收入增速连续七年快于城镇居民，改革发展成果更多更公平惠及广大市民。

	　　过去一年，外部环境不稳定、不确定因素增多，本市经济下行压力加大。我们迎难而上，主要做了五方面工作。

	　　（一）坚持发展第一要务，把稳增长放在更加突出位置，全力以赴调结构

	　　加快产业结构优化升级。解决“四新”经济发展瓶颈问题29项，制定“互联网+”推进方案。实施旅游、体育等服务业促进政策，支持生产性服务业、生活性服务业加快发展。制定实施智能制造、高端装备制造发展政策，C919大型客机总装下线，国家机器人检测评定中心落户。推动产业园区开展区区合作、品牌联动。淘汰高能耗、高污染、高危险和低效益的落后产能1236项。

	　　着力扩大消费、促进出口。优化消费环境，培育消费热点，推进旅游、教育、文化、健康等服务类消费联动发展，实施境外旅客购物离境退税，社会消费品零售总额比上年增长8.1%。新增一批国家级电子商务示范基地，促进跨境电商发展，电子商务交易额保持20%以上的高速增长。落实国家外贸稳增长政策，支持企业拓展境外市场，清理和规范进出口环节收费，口岸进出口总额超过1万亿美元。推动文化贸易、技术贸易发展，服务贸易保持两位数增长，占对外贸易总额比重提高到30.3%。

	　　加快推进城市基础设施建设。优化重大工程前期工作机制，开工建设8号线三期、15号线、18号线等88公里轨道交通线，建成11号线迪士尼段、12号线西段、13号线部分区段共40公里轨道交通线，轨道交通运营线路总长达到588公里，比五年前增加165公里。中环线全线贯通。第四代移动通信网络基本覆盖全市域。放宽社会资本投资领域，推广政府和社会资本合作模式，全社会固定资产投资比上年增长5.6%。

	　　（二）注重推进重点领域改革先行先试，充分发挥自贸试验区示范引领作用，全面深化改革开放

