,公告内容
0,白山市职业技能教育中心实验室配套设备成交公告2018年01月02日09:25来源：【打印】公告概要：公告信息：采购项目名称白山市职业技能教育中心实验室配套设备品目货物/通用设备/办公设备/其他办公设备采购单位白山市职业技能教育中心行政区域市辖区公告时间2018年01月02日09:25本项目招标公告日期2017年12月25日成交日期2017年12月29日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单详见公告原文总成交金额￥32.5万元（人民币）联系人及联系方式：项目联系人管经理项目联系电话0439-3241299采购单位白山市职业技能教育中心采购单位地址白山市职业技能教育中心采购单位联系方式刘女士15304390031代理机构名称吉林智腾工程招标造价咨询有限公司代理机构地址白山市浑江区浑江大街鑫德西郡7#门市代理机构联系方式褚越0439-3247676　　吉林智腾工程招标造价咨询有限公司受白山市职业技能教育中心的委托，就白山市职业技能教育中心实验室配套设备项目（项目编号：JZT2017Z258（G01)）组织采购，评标工作已经结束，成交结果如下： 一、项目信息项目编号：JZT2017Z258（G01)项目名称：白山市职业技能教育中心实验室配套设备项目联系人：管经理联系方式：0439-3241299 二、采购单位信息采购单位名称：白山市职业技能教育中心采购单位地址：白山市职业技能教育中心采购单位联系方式：刘女士15304390031 三、采购代理机构信息采购代理机构全称：吉林智腾工程招标造价咨询有限公司采购代理机构地址：白山市浑江区浑江大街鑫德西郡7#门市采购代理机构联系方式：褚越0439-3247676 四、成交信息招标文件编号：JZT2017Z258（G01)本项目招标公告日期：2017年12月25日成交日期：2017年12月29日总成交金额：32.5万元（人民币）成交供应商名称、地址及成交金额：序号成交供应商名称成交供应商联系地址成交金额(万元)11、白山市兴诚电脑科技有限公司2、白山市浑江区向阳路向阳家园24号楼105室32.500000谈判小组、询价小组、磋商小组成员名单及单一来源采购人员名单：详见公告原文 五、项目用途、简要技术要求及合同履行日期： 白山市职业技能教育中心实验室配套设备成交公告       吉林智腾工程招标造价咨询有限公司受白山市职业技能教育中心的委托，就白山市职业技能教育中心实验室配套设备采购进行公开询价，按规定程序进行了开标、评标、定标，现就本次公开询价的成交结果公示如下：一、采购项目名称及编号1、项目名称：白山市职业技能教育中心实验室配套设备2、招标编号：JZT2017Z258（G01)二、成交公告媒体及日期：1、成交发布媒体：吉林省公共资源交易信息网、中国政府采购网、中国采购与招标网2、公告日期：2018年1月2日三、评标信息：1、评标日期：2017年12月29日2、评标地点：吉林智腾工程招标造价咨询有限公司开标室3、评标专家：郭见强、刘泉莉、金林虎成交信息：成交供应商名称：白山市兴诚电脑科技有限公司成交供应商地址：白山市浑江区向阳路向阳家园24号楼105室3、项目成交金额：大写：叁拾贰万伍仟元整                 小写：325，000.00元五、本次招标联系事项1、采购单位：白山市职业技能教育中心2、联系人：刘女士3、联系电话：153043900314、联系地址：白山市职业技能教育中心六、成交结果公示时间为2018年1月2日，在公示期间如果本项目的投标人对成交结果有异议，请在公示期内以书面形式向监督部门提出质疑。公示期如无异议，招标人将向成交人发成交通知书。             采购代理机构：吉林智腾工程招标造价咨询有限公司       采购代理机构地址：白山市浑江区浑江大街鑫德西郡7#门市              采购代理机构联系方式：褚越0439-3247676 六、成交标的名称、规格型号、数量、单价、服务要求：详见公告原文 七、其它补充事宜
1,高碑店市公安局指挥中心大厅视频管理设备采购项目成交公告2018年01月02日10:22来源：【打印】公告概要：公告信息：采购项目名称高碑店市公安局指挥中心大厅视频管理设备采购项目品目货物/通用设备/办公设备/其他办公设备采购单位高碑店市公安局行政区域高碑店市公告时间2018年01月02日10:22本项目招标公告日期2017年12月25日成交日期2017年12月29日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单李继民、安春生、戴东波总成交金额￥55.246万元（人民币）联系人及联系方式：项目联系人朱军强项目联系电话15231282718采购单位高碑店市公安局采购单位地址高碑店市采购单位联系方式梁亮电话：0312-2919105代理机构名称河北鸿泰融新工程项目咨询股份有限公司代理机构地址邯郸市丛台区丛台路495号中道大厦B座26层代理机构联系方式朱军强电话：15231282718　　河北鸿泰融新工程项目咨询股份有限公司受高碑店市公安局的委托，就高碑店市公安局指挥中心大厅视频管理设备采购项目项目（项目编号：HTDL-2017-899）组织采购，评标工作已经结束，成交结果如下： 一、项目信息项目编号：HTDL-2017-899项目名称：高碑店市公安局指挥中心大厅视频管理设备采购项目项目联系人：朱军强联系方式：15231282718 二、采购单位信息采购单位名称：高碑店市公安局采购单位地址：高碑店市采购单位联系方式：梁亮电话：0312-2919105 三、采购代理机构信息采购代理机构全称：河北鸿泰融新工程项目咨询股份有限公司采购代理机构地址：邯郸市丛台区丛台路495号中道大厦B座26层采购代理机构联系方式：朱军强电话：15231282718 四、成交信息招标文件编号：HTDL-2017-899本项目招标公告日期：2017年12月25日成交日期：2017年12月29日总成交金额：55.246万元（人民币）成交供应商名称、地址及成交金额：成交供应商名称：保定鼎固电子工程有限公司成交供应商地址：保定市乐凯北大街3188号红星美凯龙A区二层B8079、三层C8059成交单位组织机构代码：91130605MA07L1JR2B成交金额：552460元 谈判小组、询价小组、磋商小组成员名单及单一来源采购人员名单：李继民、安春生、戴东波 五、项目用途、简要技术要求及合同履行日期：详见询价通知书 六、成交标的名称、规格型号、数量、单价、服务要求：详见询价通知书 七、其它补充事宜详见询价通知书
2,"广州市工商行政管理局2017年红盾网TRS服务套件迁移项目采购成交公告2018年01月02日11:20来源：【打印】公告概要：公告信息：采购项目名称广州市工商行政管理局2017年红盾网TRS服务套件迁移项目采购公告品目服务/信息技术服务/软件开发服务/支撑软件开发服务,服务/信息技术服务/软件开发服务/基础软件开发服务采购单位广州市工商行政管理局行政区域广州市公告时间2018年01月02日11:20本项目招标公告日期2017年12月14日成交日期2018年01月02日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单林明方（负责人）、吴小平、汪翔总成交金额￥11.15万元（人民币）联系人及联系方式：项目联系人许小姐项目联系电话020-28319083采购单位广州市工商行政管理局采购单位地址广州市天河区天河路112号采购单位联系方式朱小姐020-85596566-3236代理机构名称广州有德招标代理有限公司代理机构地址广州市天河北路689号光大银行大厦1506代理机构联系方式许小姐020-28319083　　广州有德招标代理有限公司受广州市工商行政管理局的委托，就广州市工商行政管理局2017年红盾网TRS服务套件迁移项目采购公告项目（项目编号：1210-1741YDZB0575）组织采购，评标工作已经结束，成交结果如下： 一、项目信息项目编号：1210-1741YDZB0575项目名称：广州市工商行政管理局2017年红盾网TRS服务套件迁移项目采购公告项目联系人：许小姐联系方式：020-28319083 二、采购单位信息采购单位名称：广州市工商行政管理局采购单位地址：广州市天河区天河路112号采购单位联系方式：朱小姐020-85596566-3236 三、采购代理机构信息采购代理机构全称：广州有德招标代理有限公司采购代理机构地址：广州市天河北路689号光大银行大厦1506采购代理机构联系方式：许小姐020-28319083 四、成交信息招标文件编号：1210-1741YDZB0575本项目招标公告日期：2017年12月14日成交日期：2018年01月02日总成交金额：11.15万元（人民币）成交供应商名称、地址及成交金额：中标供应商名称：北京拓尔思信息技术股份有限公司中标供应商地址：北京市朝阳区大屯路科学园南里风林西奥中心B座16层中标金额：￥111,500.00谈判小组、询价小组、磋商小组成员名单及单一来源采购人员名单：林明方（负责人）、吴小平、汪翔 五、项目用途、简要技术要求及合同履行日期：项目内容最高限价服务期广州市工商行政管理局2017年红盾网TRS服务套件迁移项目人民币11.25万元一年 六、成交标的名称、规格型号、数量、单价、服务要求：中标标的：2017年红盾网TRS服务套件迁移数量：一项中标金额：￥111,500.00服务期：一年 七、其它补充事宜/"
3,"杭州海关关区监控指挥中心集成运维服务成交公告2018年01月02日18:13来源：【打印】公告概要：公告信息：采购项目名称杭州海关关区监控指挥中心集成运维服务品目服务/信息技术服务/运行维护服务/安全运维服务,服务/信息技术服务/运行维护服务/硬件运维服务,服务/信息技术服务/运行维护服务/软件运维服务采购单位杭州海关机关服务处行政区域杭州市公告时间2018年01月02日18:13本项目招标公告日期2017年12月19日成交日期2018年01月03日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单秦蓀涛、刘朝进、吴苏唯总成交金额￥52万元（人民币）联系人及联系方式：项目联系人温先生项目联系电话0571-88955386采购单位杭州海关机关服务处采购单位地址杭州市黄龙路7号采购单位联系方式王先生0571-87267498代理机构名称浙江省成套工程有限公司代理机构地址浙江省杭州市古墩路701号紫金广场A座12楼1215室代理机构联系方式温先生0571-88955386　　浙江省成套工程有限公司受杭州海关机关服务处的委托，就杭州海关关区监控指挥中心集成运维服务项目（项目编号：ZJCT6-HZHG2017-21）组织采购，评标工作已经结束，成交结果如下： 一、项目信息项目编号：ZJCT6-HZHG2017-21项目名称：杭州海关关区监控指挥中心集成运维服务项目联系人：温先生联系方式：0571-88955386 二、采购单位信息采购单位名称：杭州海关机关服务处采购单位地址：杭州市黄龙路7号采购单位联系方式：王先生0571-87267498 三、采购代理机构信息采购代理机构全称：浙江省成套工程有限公司采购代理机构地址：浙江省杭州市古墩路701号紫金广场A座12楼1215室采购代理机构联系方式：温先生0571-88955386 四、成交信息招标文件编号：ZJCT6-HZHG2017-21本项目招标公告日期：2017年12月19日成交日期：2018年01月03日总成交金额：52.0万元（人民币）成交供应商名称、地址及成交金额：成交供应商名称：浙江哈曼视听科技有限公司联系地址：杭州市拱墅区祥园路99号1号楼142室成交金额：520000元谈判小组、询价小组、磋商小组成员名单及单一来源采购人员名单：秦蓀涛、刘朝进、吴苏唯 五、项目用途、简要技术要求及合同履行日期：杭州海关关区监控指挥中心集成运维服务1项。服务范围包括杭州总关二级和7个三级海关监控指挥中心（温州、舟山、台州、嘉兴、杭州下沙经济开发区、杭州萧山机场和义乌）系统的技术服务工作。技术服务工作包括人员驻场运维、设备维保服务、核心设备备件服务、快速响应与现场应急保障、故障应急处理、系统调优、建立并完善技术运维文档库、技术咨询与技术培训、技术性巡检等工作。 六、成交标的名称、规格型号、数量、单价、服务要求：杭州海关关区监控指挥中心集成运维服务 七、其它补充事宜"
4,"惠来县文化馆总分馆平台建设采购项目成交公告2018年01月02日11:21来源：【打印】公告概要：公告信息：采购项目名称惠来县文化馆总分馆平台建设采购项目品目服务/信息技术服务/其他信息技术服务采购单位惠来县文化馆行政区域揭阳市公告时间2018年01月02日11:21本项目招标公告日期2017年12月18日成交日期2017年12月28日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单询价小组组长：陈胜君询价小组成员：洪晓锋、卢东辉总成交金额￥25万元（人民币）联系人及联系方式：项目联系人陈小姐项目联系电话0663-8212178采购单位惠来县文化馆采购单位地址惠来县惠城南环一路14号文化广场内采购单位联系方式卢先生0663-6683216代理机构名称广州群生招标代理有限公司揭阳分公司代理机构地址揭阳市榕城区东升新阳东路北侧原新河沟外综合楼D幢5楼代理机构联系方式陈小姐0663-8212178附件：附件1惠来县文化馆总分馆平台建设采购项目成交公告.doc附件2惠来县文化馆总分馆平台建设采购项目.doc　　广州群生招标代理有限公司揭阳分公司受惠来县文化馆的委托，就惠来县文化馆总分馆平台建设采购项目项目（项目编号：GZQS1701FX12015J）组织采购，评标工作已经结束，成交结果如下： 一、项目信息项目编号：GZQS1701FX12015J项目名称：惠来县文化馆总分馆平台建设采购项目项目联系人：陈小姐联系方式：0663-8212178 二、采购单位信息采购单位名称：惠来县文化馆采购单位地址：惠来县惠城南环一路14号文化广场内采购单位联系方式：卢先生0663-6683216 三、采购代理机构信息采购代理机构全称：广州群生招标代理有限公司揭阳分公司采购代理机构地址：揭阳市榕城区东升新阳东路北侧原新河沟外综合楼D幢5楼采购代理机构联系方式：陈小姐0663-8212178 四、成交信息招标文件编号：GZQS1701FX12015J本项目招标公告日期：2017年12月18日成交日期：2017年12月28日总成交金额：25.0万元（人民币）成交供应商名称、地址及成交金额：成交供应商名称：惠州市耀昇科技有限公司 成交金额：￥250,000.00元 成交供应商地址：惠东县大岭镇产业转移园谈判小组、询价小组、磋商小组成员名单及单一来源采购人员名单：询价小组组长：陈胜君询价小组成员：洪晓锋、卢东辉 五、项目用途、简要技术要求及合同履行日期：请成交单位务必于本公告发出之日起30日内带齐有关文件与惠来县文化馆签订合同，并依《交纳服务费承诺书》的承诺向广州群生招标代理有限公司揭阳分公司交纳采购代理服务费。 六、成交标的名称、规格型号、数量、单价、服务要求：报价人序号报价人名称                 总报价（元）   完工期（天）   推荐排名1惠州市云海电子科技有限公司    ￥260,000.00 合同签订后10天内完成  32惠州市耀昇科技有限公司        ￥250,000.00 合同签订后10天内完成  13揭阳市领先未来电子商务有限公司￥258,000.00 合同签订后10天内完成  2 七、其它补充事宜"
5,墨竹工卡县财政局采购基层公安机关执法办案场所装备（第二次）成交公告2018年01月02日18:04来源：【打印】公告概要：公告信息：采购项目名称采购基层公安机关执法办案场所装备（第二次）品目货物/通用设备/办公设备/其他办公设备采购单位墨竹工卡县财政局行政区域墨竹工卡县公告时间2018年01月02日18:04本项目招标公告日期2017年12月22日成交日期2018年01月02日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单吴晓林、刘强、旦增总成交金额￥151万元（人民币）联系人及联系方式：项目联系人周南项目联系电话0891-6866496采购单位墨竹工卡县财政局采购单位地址西藏自治区拉萨市墨竹工卡县采购单位联系方式丹增：15289108955代理机构名称国信招标集团股份有限公司代理机构地址拉萨市金珠西路56号外经贸大厦11层代理机构联系方式周南：0891-6866496附件：附件1竞争性谈判文件-公安机关装备采购.doc　　国信招标集团股份有限公司受墨竹工卡县财政局的委托，就采购基层公安机关执法办案场所装备（第二次）项目（项目编号：GXTC-CZ-1727156）组织采购，评标工作已经结束，成交结果如下： 一、项目信息项目编号：GXTC-CZ-1727156项目名称：采购基层公安机关执法办案场所装备（第二次）项目联系人：周南联系方式：0891-6866496 二、采购单位信息采购单位名称：墨竹工卡县财政局采购单位地址：西藏自治区拉萨市墨竹工卡县采购单位联系方式：丹增：15289108955 三、采购代理机构信息采购代理机构全称：国信招标集团股份有限公司采购代理机构地址：拉萨市金珠西路56号外经贸大厦11层采购代理机构联系方式：周南：0891-6866496 四、成交信息招标文件编号：GXTC-CZ-1727156本项目招标公告日期：2017年12月22日成交日期：2018年01月02日总成交金额：151.0万元（人民币）成交供应商名称、地址及成交金额：序号成交供应商名称成交供应商联系地址成交金额(万元)1西藏商泰工贸有限公司西藏自治区拉萨市151.000000谈判小组、询价小组、磋商小组成员名单及单一来源采购人员名单：吴晓林、刘强、旦增 五、项目用途、简要技术要求及合同履行日期：采购人名称：墨竹工卡县财政局采购人地址：西藏自治区拉萨市墨竹工卡县采购人联系方式：15289108955采购代理机构全称：国信招标集团股份有限公司采购代理机构地址：拉萨市金珠西路56号外经贸大厦11层    采购代理机构联系方式：0891-6866496   项目名称：采购基层公安机关执法办案场所装备（第二次）项目编号：GXTC-CZ-1727156谈判时间：2017年12月29日谈判地点：拉萨市金珠西路56号外经贸大厦11层成交供应商名称：西藏商泰工贸有限公司成交供应商地址：西藏自治区拉萨市成交金额：人民币￥151.00万元（大写：壹佰伍拾壹万元整）主要成交标的信息序号标的名称规格型号数量单价（元）服务要求1采购基层公安机关执法办案场所装备（第二次）\\\详见竞争性谈判文件      询价小组成员名单：吴晓林、刘强、旦增联系人：涂晓亮       联系方式：0891-6866496   国信招标集团股份有限公司2018年1月2日 六、成交标的名称、规格型号、数量、单价、服务要求：采购基层公安机关执法办案场所装备（第二次） 七、其它补充事宜
6,"永靖县机关事务管理局永靖县县级机关公务用车服务平台信息化管理系统建设项目（二次）成交公告2018年01月02日15:05来源：【打印】公告概要：公告信息：采购项目名称永靖县县级机关公务用车服务平台信息化管理系统建设项目（二次）品目货物/通用设备/计算机设备及软件/计算机软件/基础软件/操作系统采购单位永靖县机关事务管理局行政区域永靖县公告时间2018年01月02日15:05本项目招标公告日期2017年12月21日成交日期2017年12月29日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单陈虎韩丽娟,吴发忠总成交金额￥48万元（人民币）联系人及联系方式：项目联系人张翅项目联系电话13209311960采购单位永靖县机关事务管理局采购单位地址甘肃省永靖县刘家峡镇古城新区统办楼采购单位联系方式13884019968代理机构名称甘肃源和工程咨询有限公司代理机构地址甘肃省白银市白银区水川路31号（21）1幢2-601代理机构联系方式0943-8228444附件：附件1永靖公务用车服务平台项目.pdf永靖县县级机关公务用车服务平台信息化管理系统建设项目（二次）成交公告甘肃源和工程咨询有限公司受永靖县机关事务管理局的委托,对永靖县县级机关公务用车服务平台信息化管理系统建设项目（二次）以单一来源方式进行采购，采购小组于2017年12月29日确定成交结果，现将成交结果公布如下：一、采购编号：LXZC2017-556二、预算金额：61.38万元三、成交内容及结果：成交内容：序号品目型号主要技术参数单位数量单价（元）总价（元）1永靖县公务用车服务中心车辆调度管理系统应用软件永靖县公务车辆服务中心调度管理系统依托现有信息化基础平台和应用平台，通过北斗定位终端、车辆调度管理系统、大屏显示系统等方式，实现对公务车辆做出有效的管理。主要建设内容包括大屏显示系统、公务车派车系统等。车辆调度管理系统中需对涉及本单位的公车进行安装北斗系统或GPS定位系统，将车辆位置信息实时传输到调度指挥中心的管理平台上，便于及时了解车辆活动情况，并在管理平台上提示调度管理人员车辆运行情况。同时通过配备相关设备，采用信息技术和专用网络，实现线路稽查、预警报警、超速行驶、电子围栏等管理；实现对车辆调度，运行数据分析等要求。套120000200002车辆调度管理系统硬件及支持软件车载终端支持北斗定位和GPS定位的双模机，具备车辆诊断接口（CAN总线接口）及车辆故障诊断功能。套84100084000车载终端安装安装服务台/次8400PC系统软件包含车辆监控、电子派车、运营管理、财务管理、统计分析等功能模块。套100司机端APP司机通过手机接单，执行任务、上报费用并签到入库（必备）套100调度管理APP调度员通过APP进行车辆人员调派和车辆监控，调度人员不受办公地点和办公时间限制。（必备）套150005000客户端APP用车单位通过手机APP端进行用车申请，可以实现随时随地申请用车，方便快捷，提高工作效率。（必备）套150005000微信公众平台具备通过微信公众平台实现车辆调度管理系统中的车辆申请、审批、调度、评价、财务结算等功能。套100电子地图正版电子地图精度比例不小于1:10000；同步GOOGLE地图，含卫星地图。（电子地图集成高德或百度地图地理信息系统）套10010690短信平台用于系统内所有短信推送，各个环节消息传达（必备）套1500050003车辆申请管理系统车辆申请管理子系统此功能通过多终端（PC端、手机端、PAD）实现用车申请、审批、信息维护、申请用车上传附件、自动生成用车审批单并可在线打印、查询申请用车订单等功能。套1004大屏显示电子屏1、DID显示单元，55寸液晶屏幕12块；2、有效面积4000mm(宽)*2700mm(高)；3、响应时间≤8ms；4、亮度500cd/㎡，分辨率1920×1080，对比度3500:1；5、双边拼缝：3.5mm；6、色彩达16.7M，环境温度10%~90%，温度0℃~40℃。套1217800213600LED显示屏3.75单色屏套11000010000大屏支架立式组125006000线缆及配件视频线，控制线组125006000矩阵切换器1、8入8出；2、信号可在拼接大屏上实现整屏、分屏、相邻屏组合拼接显示；台11740017400控制机3.2GHz,4G内存，1T硬盘，23英寸显示器。台150005000监控台三联1800mm×900mm×750mm,灰白套色，冷轧钢板材质台180008000音响话筒U段调频无线话筒+功效+壁挂音响组1800080005机房设备（租用）服务器六核2.4*2颗-8G*2条内存-300G*3SAS2.515K*2块-DVD-H330阵列卡495W单电源台200交换机千兆交换机（24口、带光纤接入口）台100防火墙防火墙（入侵检测，病毒过滤，带路由功能）台100机柜19寸标准机柜（42U标准服务器机柜）台1006数据相关SIM卡用于数据通讯个84007系统维护车载终端终端包含首年终端维护保修费用套84100084000车辆调度管理软件包含首年软件升级维护费用套1008大屏包边大屏左右和下部木工包边套1300030009安装费大屏和obd专人安装套100总计大写：肆拾捌万元整￥480000.00成交单位：易迅通科技有限公司成交金额：人民币48万元（肆拾捌万元整）地   址：西安市经开区文景路以西一方中港国际第2幢1单元11606室联系人及联系电话：安国富 029-86199603四、定标日期：2017年12月29日五、招标公告日期：2017年12月21日六、合同履行日期：合同签订后双方协商具体履行日期七、公示期限：1个工作日八、评委成员名单：陈虎 韩丽娟 吴发忠  九、采购项目联系人：招标人：永靖县机关事务管理局联系人：吴发忠联系电话：0930-8881990单位地址：临夏州永靖县统办楼代理机构：甘肃源和工程咨询有限公司联系人：张翅联系电话：13209311960地   址：兰州城关区盐场路上川家园2号楼2801室甘肃源和工程咨询有限公司                                             2018年1月2日"
7,柳南区人民法院柳南法院自行采购设备项目成交公告2018年01月02日17:41来源：【打印】公告概要：公告信息：采购项目名称柳南法院自行采购设备项目品目货物/通用设备/办公设备/其他办公设备采购单位柳南区人民法院行政区域市辖区公告时间2018年01月02日17:41本项目招标公告日期2018年01月02日成交日期2018年01月02日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单罗海波、张菊华、潘大庆总成交金额￥30.6025万元（人民币）联系人及联系方式：项目联系人戴伟项目联系电话13152688357采购单位柳南区人民法院采购单位地址飞鹅路南一巷99号采购单位联系方式杨桥，18107725662代理机构名称广西建通工程咨询有限责任公司代理机构地址柳州市河东路1号秀景园5-4号代理机构联系方式戴伟，13152688357　　广西建通工程咨询有限责任公司受柳南区人民法院的委托，就柳南法院自行采购设备项目项目（项目编号：LNQT17-005）组织采购，评标工作已经结束，成交结果如下： 一、项目信息项目编号：LNQT17-005项目名称：柳南法院自行采购设备项目项目联系人：戴伟联系方式：13152688357 二、采购单位信息采购单位名称：柳南区人民法院采购单位地址：飞鹅路南一巷99号采购单位联系方式：杨桥，18107725662 三、采购代理机构信息采购代理机构全称：广西建通工程咨询有限责任公司采购代理机构地址：柳州市河东路1号秀景园5-4号采购代理机构联系方式：戴伟，13152688357 四、成交信息招标文件编号：LNQT17-005本项目招标公告日期：2018年01月02日成交日期：2018年01月02日总成交金额：30.6025万元（人民币）成交供应商名称、地址及成交金额：成交供应商名称：江西睿创科技有限公司成交供应商地址：江西省樟树市观上工业园十号楼成交金额：人民币叁拾万零陆仟零贰拾伍元整（￥306025.00）谈判小组、询价小组、磋商小组成员名单及单一来源采购人员名单：罗海波、张菊华、潘大庆 五、项目用途、简要技术要求及合同履行日期：多功能一体机3台、台式电脑20台、打印机2、交换机2台、语音网关3台、排队叫号系统1套、防磁柜1个等办公设备1批。 六、成交标的名称、规格型号、数量、单价、服务要求：多功能一体机3台、台式电脑20台、打印机2、交换机2台、语音网关3台、排队叫号系统1套、防磁柜1个等办公设备1批。 七、其它补充事宜
8,"陇南市住房公积金管理中心12329住房公积金热线服务费采购项目成交公告2018年01月02日16:05来源：【打印】公告概要：公告信息：采购项目名称陇南市住房公积金管理中心12329住房公积金热线服务费采购项目品目服务/电信和其他信息传输服务/互联网信息服务采购单位陇南市住房公积金管理中心行政区域陇南市公告时间2018年01月02日16:05本项目招标公告日期2017年12月20日成交日期2017年12月28日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单马耀、姬滨、郭永红总成交金额￥22.88万元（人民币）联系人及联系方式：项目联系人郭永红项目联系电话13993922711采购单位陇南市住房公积金管理中心采购单位地址甘肃省武都区东江新区人社大厦15楼采购单位联系方式0939-8211733代理机构名称陇南市公共资源交易中心代理机构地址陇南市东江新区统办5号楼二楼代理机构联系方式0939-8598575附件：附件1询价文件：陇南市住房公积金管理中心12329服务费.doc陇南市住房公积金管理中心12329公积金热线服务费项目成交公告    陇南市住房公积金管理中心12329公积金热线服务费项目（询价）以询价形式进行采购，评标委员会于2017年12月28日确定中标结果。现将中标结果公布如下：1、招标文件编号：LJZC2017-6662、中标内容：项目预算23万元，分为1个包。名称品牌型号主要技术参数单位数量单价（元）总价（元）备注（交货期）电路电路租用2M—MSTP条1132001320012329住房公积金服务人员费用熟知陇南市住房公积金相关政策，业务办理流程；熟悉热线服务指标控制、对用户建议、意见和投诉采用合理可行的方式处理。人251,000102000合同签订7后7日内硬件设备联想台式PCAIO520-22IKL21.5英寸一体台式机O2O_F0D40012CD台23,5257050语音平台UAP8100扩容MGC主机软件,IP座席链接控制处理软件包个127,60027600人工座席系统话务管理座席签入后，系统自动记录座席接听、呼出电话信息.个22290045800业务系统提供用户、角色、权限管理。个2870017400运输费次00安装测试服务系统次1800800培训费次200售后服务次00验收抽检次210002000税费6%1295012950合计（大写）贰拾贰万捌千捌佰元整小写22.88万元3、定标日期：2017年12月28日4、招标公告日期：2017年12月20日5、中标供应商名称及中标金额：兰州飞天网景信息产业有限公司为中标人，中标金额：￥22.88万元(大写：贰拾贰万捌仟捌佰整)。中标供应商地址：甘肃省兰州市城关区张苏滩553号。中标供应商联系人：赵晓庆   联系电话：0931-88188506、评标委员会成员：马耀、姬滨、郭永红。7、采购项目联系人姓名及电话：采购单位：陇南市住房公积金管理中心联系人：郭永红 联系电话：13993922711    采购地址：陇南市武都区东江新区人社大厦14楼招标代理机构：陇南市公共资源交易中心联系人：焦陇东联系电话：0939-8598575代理机构地址：陇南市东江新区统办5号楼二楼监督部门：陇南市财政局政府采购监督管理科联系电话：0939-8235552在此，对参加本次采购项目的供应商表示衷心的感谢！二Ｏ一七年十二月二十八日"
9,"陇南市住房公积金管理中心短信资讯费成交公告2018年01月02日16:05来源：【打印】公告概要：公告信息：采购项目名称陇南市住房公积金管理中心短信资讯费品目服务/电信和其他信息传输服务/其他电信和信息传输服务采购单位陇南市住房公积金管理中心行政区域陇南市公告时间2018年01月02日16:05本项目招标公告日期2017年12月20日成交日期2017年12月28日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单马耀、姬滨、郭永红总成交金额￥17.5万元（人民币）联系人及联系方式：项目联系人郭永红项目联系电话13993922711采购单位陇南市住房公积金管理中心采购单位地址甘肃省武都区东江新区人社大厦15楼采购单位联系方式0939-8211733代理机构名称陇南市公共资源交易中心代理机构地址陇南市东江新区统办5号楼二楼代理机构联系方式0939-8598575附件：附件1询价文件：陇南市住房公积金管理中心住房公积金短信咨询费项目.doc陇南市住房公积金管理中心短信资讯费项目成交公告    陇南市住房公积金管理中心短信资讯费项目（询价）以询价形式进行采购，评标委员会于2017年12月28日确定中标结果。现将中标结果公布如下：1、招标文件编号：LJZC2017-6652、中标内容：项目预算17.6万元，分为1个包。货物名称品牌型号主要技术参数单位数量单价（元）总价（元）备注（交货期）短信资讯费专线中国移动上下行100M带宽条1200002000060天短信资讯费中国移动包含全网短信150000条/月套1800008000060天云主机中国移动Windowsserver2008标准版，1vcpu,14GB内存,60GB硬盘台1250002500060天住房公积金接口程序开发中国移动完成与数据库系统接口开发，必须满足发送住房公积金缴存、支取、贷款回收、催收、信息变更等数据主动推送短信，自动查询短信。套1500005000060天合计（大写）拾柒万伍仟元 小写175000175000　60天3、定标日期：2017年12月28日4、招标公告日期：2017年12月20日5、中标供应商名称及中标金额：中国移动通信集团甘肃有限公司陇南分公司为中标人，中标金额：￥17.5万元(大写：壹拾柒万伍仟元整)。中标供应商地址：陇南市武都区东江镇站前西路移动公司。中标供应商联系人：卢扬   联系电话：139939940066、评标委员会成员：马耀、姬滨、郭永红。7、采购项目联系人姓名及电话：采购单位：陇南市住房公积金管理中心联系人：郭永红 联系电话：13993922711    采购地址：陇南市武都区东江新区人社大厦14楼招标代理机构：陇南市公共资源交易中心联系人：焦陇东联系电话：0939-8598575代理机构地址：陇南市东江新区统办5号楼二楼监督部门：陇南市财政局政府采购监督管理科联系电话：0939-8235552在此，对参加本次采购项目的供应商表示衷心的感谢！二Ｏ一七年十二月二十八日"
